Year Month,State,Industry,Regulator,Product,Count
2012,California,Securities/Futures,SEC,Debit Card,1
2012,California,Securities/Futures,SEC,Stocks,1
2012,California,Securities/Futures,SEC,[Total],2
2012,California,Securities/Futures,[Total],[Total],2
2012,California,[Total],[Total],[Total],4
2012,Connecticut,Securities/Futures,SEC,Stocks,1
2012,Connecticut,Securities/Futures,SEC,[Total],1
2012,Connecticut,Securities/Futures,[Total],[Total],1
2012,Connecticut,[Total],[Total],[Total],1
2012,Delaware,Depository Institution,FDIC,Credit Card,2
2012,Delaware,Depository Institution,FDIC,[Total],2
2012,Delaware,Depository Institution,[Total],[Total],2
2012,Delaware,[Total],[Total],[Total],2
2012,Florida,Depository Institution,FDIC,Commercial Mortgage,1
2012,Florida,Depository Institution,FDIC,Forex Transactions,1
2012,Florida,Depository Institution,FDIC,[Total],2
2012,Florida,Depository Institution,[Total],[Total],2
2012,Florida,Securities/Futures,SEC,Stocks,2
2012,Florida,Securities/Futures,SEC,[Total],2
2012,Florida,Securities/Futures,[Total],[Total],2
2012,Florida,[Total],[Total],[Total],4
2012,Georgia,Depository Institution,FDIC,Debit Card,2
2012,Georgia,Depository Institution,FDIC,Residential Mortgage,1
2012,Georgia,Depository Institution,FDIC,[Total],3
2012,Georgia,Depository Institution,OCC,Residential Mortgage,1
2012,Georgia,Depository Institution,OCC,[Total],1
2012,Georgia,Depository Institution,[Total],[Total],4
2012,Georgia,[Total],[Total],[Total],4
2012,Illinois,Securities/Futures,CFTC,Futures/Options on Futures,1
2012,Illinois,Securities/Futures,CFTC,[Total],1
2012,Illinois,Securities/Futures,[Total],[Total],1
2012,Illinois,[Total],[Total],[Total],1
2012,Indiana,Depository Institution,OCC,Commercial Paper,1
2012,Indiana,Depository Institution,OCC,[Total],1
2012,Indiana,Depository Institution,[Total],[Total],1
2012,Indiana,[Total],[Total],[Total],1
2012,Iowa,Depository Institution,OCC,Debit Card,1
2012,Iowa,Depository Institution,OCC,[Total],1
2012,Iowa,Depository Institution,[Total],[Total],1
2012,Iowa,[Total],[Total],[Total],1
2012,Kansas,Depository Institution,FDIC,Residential Mortgage,1
2012,Kansas,Depository Institution,FDIC,[Total],1
2012,Kansas,Depository Institution,OCC,Residential Mortgage,1
2012,Kansas,Depository Institution,OCC,[Total],1
2012,Kansas,Depository Institution,[Total],[Total],2
2012,Kansas,Securities/Futures,SEC,Mutual Fund,1
2012,Kansas,Securities/Futures,SEC,[Total],1
2012,Kansas,Securities/Futures,[Total],[Total],1
2012,Kansas,[Total],[Total],[Total],3
2012,Kentucky,Depository Institution,FDIC,Credit Card,1
2012,Kentucky,Depository Institution,FDIC,[Total],1
2012,Kentucky,Depository Institution,[Total],[Total],1
2012,Kentucky,[Total],[Total],[Total],1
2012,Minnesota,Depository Institution,OCC,Debit Card,1
2012,Minnesota,Depository Institution,OCC,Residential Mortgage,1
2012,Minnesota,Depository Institution,OCC,[Total],2
2012,Minnesota,Depository Institution,[Total],[Total],2
2012,Minnesota,[Total],[Total],[Total],2
2012,Nebraska,Depository Institution,OCC,Debit Card,1
2012,Nebraska,Depository Institution,OCC,[Total],1
2012,Nebraska,Depository Institution,[Total],[Total],1
2012,Nebraska,[Total],[Total],[Total],1
2012,New Jersey,Depository Institution,FDIC,Bonds/Notes,1
2012,New Jersey,Depository Institution,FDIC,Debit Card,1
2012,New Jersey,Depository Institution,FDIC,Residential Mortgage,1
2012,New Jersey,Depository Institution,FDIC,[Total],3
2012,New Jersey,Depository Institution,OCC,Residential Mortgage,1
2012,New Jersey,Depository Institution,OCC,[Total],1
2012,New Jersey,Depository Institution,[Total],[Total],4
2012,New Jersey,Securities/Futures,SEC,Insurance/Annuity Products,1
2012,New Jersey,Securities/Futures,SEC,Stocks,1
2012,New Jersey,Securities/Futures,SEC,[Total],2
2012,New Jersey,Securities/Futures,[Total],[Total],2
2012,New Jersey,[Total],[Total],[Total],6
2012,New York,Depository Institution,FDIC,Residential Mortgage,1
2012,New York,Depository Institution,FDIC,[Total],1
2012,New York,Depository Institution,OCC,Residential Mortgage,1
2012,New York,Depository Institution,OCC,[Total],1
2012,New York,Depository Institution,[Total],[Total],2
2012,New York,Securities/Futures,SEC,Stocks,2
2012,New York,Securities/Futures,SEC,[Total],2
2012,New York,Securities/Futures,[Total],[Total],2
2012,New York,[Total],[Total],[Total],4
2012,North Dakota,Depository Institution,FDIC,Credit Card,1
2012,North Dakota,Depository Institution,FDIC,[Total],1
2012,North Dakota,Depository Institution,OCC,Debit Card,1
2012,North Dakota,Depository Institution,OCC,Forex Transactions,1
2012,North Dakota,Depository Institution,OCC,[Total],2
2012,North Dakota,Depository Institution,[Total],[Total],3
2012,North Dakota,[Total],[Total],[Total],3
2012,Ohio,Depository Institution,FDIC,Debit Card,1
2012,Ohio,Depository Institution,FDIC,[Total],1
2012,Ohio,Depository Institution,OCC,Credit Card,1
2012,Ohio,Depository Institution,OCC,Debit Card,1
2012,Ohio,Depository Institution,OCC,[Total],2
2012,Ohio,Depository Institution,[Total],[Total],3
2012,Ohio,[Total],[Total],[Total],3
2012,Oregon,Depository Institution,FDIC,Debit Card,1
2012,Oregon,Depository Institution,FDIC,[Total],1
2012,Oregon,Depository Institution,[Total],[Total],1
2012,Oregon,[Total],[Total],[Total],1
2012,Pennsylvania,Depository Institution,FDIC,Debit Card,1
2012,Pennsylvania,Depository Institution,FDIC,[Total],1
2012,Pennsylvania,Depository Institution,[Total],[Total],1
2012,Pennsylvania,Securities/Futures,SEC,Mutual Fund,1
2012,Pennsylvania,Securities/Futures,SEC,[Total],1
2012,Pennsylvania,Securities/Futures,[Total],[Total],1
2012,Pennsylvania,[Total],[Total],[Total],2
2012,Tennessee,Securities/Futures,SEC,Bonds/Notes,1
2012,Tennessee,Securities/Futures,SEC,Debit Card,1
2012,Tennessee,Securities/Futures,SEC,[Total],2
2012,Tennessee,Securities/Futures,[Total],[Total],2
2012,Tennessee,[Total],[Total],[Total],2
2012,Texas,Depository Institution,FDIC,Commercial Paper,1
2012,Texas,Depository Institution,FDIC,[Total],1
2012,Texas,Depository Institution,[Total],[Total],1
2012,Texas,Securities/Futures,SEC,Stocks,1
2012,Texas,Securities/Futures,SEC,[Total],1
2012,Texas,Securities/Futures,[Total],[Total],1
2012,Texas,[Total],[Total],[Total],2
2012,Utah,Depository Institution,FDIC,Residential Mortgage,1
2012,Utah,Depository Institution,FDIC,[Total],1
2012,Utah,Depository Institution,[Total],[Total],1
2012,Utah,[Total],[Total],[Total],1
2012,Vermont,Depository Institution,FDIC,Debit Card,1
2012,Vermont,Depository Institution,FDIC,[Total],1
2012,Vermont,Depository Institution,[Total],[Total],1
2012,Vermont,[Total],[Total],[Total],1
2012,Virginia,Depository Institution,OCC,Credit Card,1
2012,Virginia,Depository Institution,OCC,Debit Card,1
2012,Virginia,Depository Institution,OCC,[Total],2
2012,Virginia,Depository Institution,[Total],[Total],2
2012,Virginia,[Total],[Total],[Total],2
2012,Washington,Depository Institution,FDIC,Residential Mortgage,1
2012,Washington,Depository Institution,FDIC,[Total],1
2012,Washington,Depository Institution,[Total],[Total],1
2012,Washington,Securities/Futures,SEC,Stocks,1
2012,Washington,Securities/Futures,SEC,[Total],1
2012,Washington,Securities/Futures,[Total],[Total],1
2012,Washington,[Total],[Total],[Total],2
2012,Wisconsin,Depository Institution,FDIC,Debit Card,2
2012,Wisconsin,Depository Institution,FDIC,[Total],2
2012,Wisconsin,Depository Institution,OCC,Residential Mortgage,1
2012,Wisconsin,Depository Institution,OCC,[Total],1
2012,Wisconsin,Depository Institution,[Total],[Total],3
2012,Wisconsin,[Total],[Total],[Total],3
2012,[Total],[Total],[Total],[Total],60
2012,Alabama,Depository Institution,FDIC,Residential Mortgage,1
2012,Alabama,Depository Institution,FDIC,[Total],1
2012,Alabama,Depository Institution,OCC,Commercial Mortgage,1
2012,Alabama,Depository Institution,OCC,[Total],1
2012,Alabama,Depository Institution,[Total],[Total],2
2012,Alabama,Securities/Futures,SEC,Insurance/Annuity Products,1
2012,Alabama,Securities/Futures,SEC,Stocks,1
2012,Alabama,Securities/Futures,SEC,[Total],2
2012,Alabama,Securities/Futures,[Total],[Total],2
2012,Alabama,[Total],[Total],[Total],4
2012,Arizona,Securities/Futures,SEC,Mutual Fund,1
2012,Arizona,Securities/Futures,SEC,[Total],1
2012,Arizona,Securities/Futures,[Total],[Total],1
2012,Arizona,[Total],[Total],[Total],1
2012,Arkansas,Depository Institution,OCC,Commercial Mortgage,1
2012,Arkansas,Depository Institution,OCC,[Total],1
2012,Arkansas,Depository Institution,[Total],[Total],1
2012,Arkansas,[Total],[Total],[Total],1
2012,California,Depository Institution,FDIC,Credit Card,2
2012,California,Depository Institution,FDIC,Forex Transactions,1
2012,California,Depository Institution,FDIC,[Total],3
2012,California,Depository Institution,OCC,Commercial Mortgage,1
2012,California,Depository Institution,OCC,[Total],1
2012,California,Depository Institution,[Total],[Total],4
2012,California,Securities/Futures,SEC,Bonds/Notes,1
2012,California,Securities/Futures,SEC,Stocks,3
2012,California,Securities/Futures,SEC,[Total],4
2012,California,Securities/Futures,[Total],[Total],4
2012,California,[Total],[Total],[Total],8
2012,Connecticut,Depository Institution,FDIC,Debit Card,1
2012,Connecticut,Depository Institution,FDIC,[Total],1
2012,Connecticut,Depository Institution,[Total],[Total],1
2012,Connecticut,Securities/Futures,SEC,Futures/Options on Futures,1
2012,Connecticut,Securities/Futures,SEC,Stocks,1
2012,Connecticut,Securities/Futures,SEC,[Total],2
2012,Connecticut,Securities/Futures,[Total],[Total],2
2012,Connecticut,[Total],[Total],[Total],3
2012,Delaware,Depository Institution,FDIC,Credit Card,10
2012,Delaware,Depository Institution,FDIC,[Total],10
2012,Delaware,Depository Institution,[Total],[Total],10
2012,Delaware,[Total],[Total],[Total],10
2012,Florida,Securities/Futures,SEC,Bonds/Notes,1
2012,Florida,Securities/Futures,SEC,Debit Card,1
2012,Florida,Securities/Futures,SEC,Mutual Fund,1
2012,Florida,Securities/Futures,SEC,Stocks,4
2012,Florida,Securities/Futures,SEC,[Total],7
2012,Florida,Securities/Futures,[Total],[Total],7
2012,Florida,[Total],[Total],[Total],7
2012,Georgia,Securities/Futures,SEC,Stocks,1
2012,Georgia,Securities/Futures,SEC,[Total],1
2012,Georgia,Securities/Futures,[Total],[Total],1
2012,Georgia,[Total],[Total],[Total],1
2012,Illinois,Depository Institution,FDIC,Debit Card,1
2012,Illinois,Depository Institution,FDIC,[Total],1
2012,Illinois,Depository Institution,OCC,Debit Card,4
2012,Illinois,Depository Institution,OCC,Residential Mortgage,2
2012,Illinois,Depository Institution,OCC,[Total],6
2012,Illinois,Depository Institution,[Total],[Total],7
2012,Illinois,[Total],[Total],[Total],7
2012,Indiana,Depository Institution,FDIC,Debit Card,1
2012,Indiana,Depository Institution,FDIC,[Total],1
2012,Indiana,Depository Institution,OCC,Bonds/Notes,1
2012,Indiana,Depository Institution,OCC,Insurance/Annuity Products,1
2012,Indiana,Depository Institution,OCC,[Total],2
2012,Indiana,Depository Institution,[Total],[Total],3
2012,Indiana,[Total],[Total],[Total],3
2012,Iowa,Depository Institution,OCC,Commercial Mortgage,1
2012,Iowa,Depository Institution,OCC,Residential Mortgage,1
2012,Iowa,Depository Institution,OCC,[Total],2
2012,Iowa,Depository Institution,[Total],[Total],2
2012,Iowa,[Total],[Total],[Total],2
2012,Kansas,Depository Institution,FDIC,Debit Card,1
2012,Kansas,Depository Institution,FDIC,[Total],1
2012,Kansas,Depository Institution,OCC,Debit Card,1
2012,Kansas,Depository Institution,OCC,[Total],1
2012,Kansas,Depository Institution,[Total],[Total],2
2012,Kansas,[Total],[Total],[Total],2
2012,Louisiana,Depository Institution,FDIC,Credit Card,1
2012,Louisiana,Depository Institution,FDIC,[Total],1
2012,Louisiana,Depository Institution,[Total],[Total],1
2012,Louisiana,[Total],[Total],[Total],1
2012,Maryland,Depository Institution,OCC,Residential Mortgage,1
2012,Maryland,Depository Institution,OCC,[Total],1
2012,Maryland,Depository Institution,[Total],[Total],1
2012,Maryland,[Total],[Total],[Total],1
2012,Michigan,Securities/Futures,SEC,Bonds/Notes,1
2012,Michigan,Securities/Futures,SEC,Stocks,1
2012,Michigan,Securities/Futures,SEC,[Total],2
2012,Michigan,Securities/Futures,[Total],[Total],2
2012,Michigan,[Total],[Total],[Total],2
2012,Minnesota,Securities/Futures,SEC,Mutual Fund,1
2012,Minnesota,Securities/Futures,SEC,Stocks,1
2012,Minnesota,Securities/Futures,SEC,[Total],2
2012,Minnesota,Securities/Futures,[Total],[Total],2
2012,Minnesota,[Total],[Total],[Total],2
2012,Mississippi,Securities/Futures,SEC,Stocks,1
2012,Mississippi,Securities/Futures,SEC,[Total],1
2012,Mississippi,Securities/Futures,[Total],[Total],1
2012,Mississippi,[Total],[Total],[Total],1
2012,Missouri,Depository Institution,FDIC,Debit Card,1
2012,Missouri,Depository Institution,FDIC,[Total],1
2012,Missouri,Depository Institution,[Total],[Total],1
2012,Missouri,[Total],[Total],[Total],1
2012,Nebraska,Depository Institution,FDIC,Credit Card,1
2012,Nebraska,Depository Institution,FDIC,Debit Card,1
2012,Nebraska,Depository Institution,FDIC,[Total],2
2012,Nebraska,Depository Institution,[Total],[Total],2
2012,Nebraska,[Total],[Total],[Total],2
2012,Nevada,Securities/Futures,SEC,Insurance/Annuity Products,1
2012,Nevada,Securities/Futures,SEC,[Total],1
2012,Nevada,Securities/Futures,[Total],[Total],1
2012,Nevada,[Total],[Total],[Total],1
2012,New Jersey,Depository Institution,OCC,Insurance/Annuity Products,1
2012,New Jersey,Depository Institution,OCC,Residential Mortgage,3
2012,New Jersey,Depository Institution,OCC,[Total],4
2012,New Jersey,Depository Institution,[Total],[Total],4
2012,New Jersey,Securities/Futures,SEC,Stocks,1
2012,New Jersey,Securities/Futures,SEC,[Total],1
2012,New Jersey,Securities/Futures,[Total],[Total],1
2012,New Jersey,[Total],[Total],[Total],5
2012,New York,Depository Institution,FDIC,Residential Mortgage,3
2012,New York,Depository Institution,FDIC,[Total],3
2012,New York,Depository Institution,OCC,Bonds/Notes,1
2012,New York,Depository Institution,OCC,Credit Card,1
2012,New York,Depository Institution,OCC,Forex Transactions,1
2012,New York,Depository Institution,OCC,Insurance/Annuity Products,1
2012,New York,Depository Institution,OCC,[Total],4
2012,New York,Depository Institution,[Total],[Total],7
2012,New York,Securities/Futures,SEC,Options on Securities,1
2012,New York,Securities/Futures,SEC,Stocks,5
2012,New York,Securities/Futures,SEC,[Total],6
2012,New York,Securities/Futures,[Total],[Total],6
2012,New York,[Total],[Total],[Total],13
2012,North Carolina,Depository Institution,FDIC,Residential Mortgage,2
2012,North Carolina,Depository Institution,FDIC,[Total],2
2012,North Carolina,Depository Institution,OCC,Credit Card,1
2012,North Carolina,Depository Institution,OCC,[Total],1
2012,North Carolina,Depository Institution,[Total],[Total],3
2012,North Carolina,[Total],[Total],[Total],3
2012,Ohio,Depository Institution,OCC,Bonds/Notes,1
2012,Ohio,Depository Institution,OCC,Insurance/Annuity Products,1
2012,Ohio,Depository Institution,OCC,[Total],2
2012,Ohio,Depository Institution,[Total],[Total],2
2012,Ohio,Securities/Futures,SEC,Insurance/Annuity Products,1
2012,Ohio,Securities/Futures,SEC,Mutual Fund,1
2012,Ohio,Securities/Futures,SEC,Stocks,1
2012,Ohio,Securities/Futures,SEC,[Total],3
2012,Ohio,Securities/Futures,[Total],[Total],3
2012,Ohio,[Total],[Total],[Total],5
2012,South Dakota,Depository Institution,FDIC,Debit Card,1
2012,South Dakota,Depository Institution,FDIC,[Total],1
2012,South Dakota,Depository Institution,[Total],[Total],1
2012,South Dakota,[Total],[Total],[Total],1
2012,Tennessee,Depository Institution,FDIC,Commercial Mortgage,3
2012,Tennessee,Depository Institution,FDIC,[Total],3
2012,Tennessee,Depository Institution,[Total],[Total],3
2012,Tennessee,[Total],[Total],[Total],3
2012,Texas,Depository Institution,OCC,Debit Card,1
2012,Texas,Depository Institution,OCC,[Total],1
2012,Texas,Depository Institution,[Total],[Total],1
2012,Texas,[Total],[Total],[Total],1
2012,Vermont,Depository Institution,FDIC,Debit Card,1
2012,Vermont,Depository Institution,FDIC,[Total],1
2012,Vermont,Depository Institution,[Total],[Total],1
2012,Vermont,[Total],[Total],[Total],1
2012,West Virginia,Depository Institution,FDIC,Bonds/Notes,1
2012,West Virginia,Depository Institution,FDIC,[Total],1
2012,West Virginia,Depository Institution,[Total],[Total],1
2012,West Virginia,[Total],[Total],[Total],1
2012,Wisconsin,Depository Institution,OCC,Debit Card,1
2012,Wisconsin,Depository Institution,OCC,Home Equity Loan,1
2012,Wisconsin,Depository Institution,OCC,[Total],2
2012,Wisconsin,Depository Institution,[Total],[Total],2
2012,Wisconsin,[Total],[Total],[Total],2
2012,[Total],[Total],[Total],[Total],95
2012,Alabama,Depository Institution,FDIC,Residential Mortgage,1
2012,Alabama,Depository Institution,FDIC,[Total],1
2012,Alabama,Depository Institution,[Total],[Total],1
2012,Alabama,[Total],[Total],[Total],1
2012,Arizona,Depository Institution,FDIC,Residential Mortgage,2
2012,Arizona,Depository Institution,FDIC,[Total],2
2012,Arizona,Depository Institution,[Total],[Total],2
2012,Arizona,[Total],[Total],[Total],2
2012,Arkansas,Depository Institution,OCC,Debit Card,1
2012,Arkansas,Depository Institution,OCC,[Total],1
2012,Arkansas,Depository Institution,[Total],[Total],1
2012,Arkansas,[Total],[Total],[Total],1
2012,California,Depository Institution,OCC,Commercial Paper,1
2012,California,Depository Institution,OCC,[Total],1
2012,California,Depository Institution,[Total],[Total],1
2012,California,Securities/Futures,CFTC,Forex Transactions,1
2012,California,Securities/Futures,CFTC,[Total],1
2012,California,Securities/Futures,SEC,Debit Card,1
2012,California,Securities/Futures,SEC,Mutual Fund,1
2012,California,Securities/Futures,SEC,Stocks,1
2012,California,Securities/Futures,SEC,[Total],3
2012,California,Securities/Futures,[Total],[Total],4
2012,California,[Total],[Total],[Total],5
2012,Colorado,Depository Institution,OCC,Credit Card,84
2012,Colorado,Depository Institution,OCC,[Total],84
2012,Colorado,Depository Institution,[Total],[Total],84
2012,Colorado,Securities/Futures,SEC,Home Equity Loan,1
2012,Colorado,Securities/Futures,SEC,[Total],1
2012,Colorado,Securities/Futures,[Total],[Total],1
2012,Colorado,[Total],[Total],[Total],85
2012,Connecticut,Depository Institution,FDIC,Residential Mortgage,1
2012,Connecticut,Depository Institution,FDIC,[Total],1
2012,Connecticut,Depository Institution,[Total],[Total],1
2012,Connecticut,Securities/Futures,SEC,Futures/Options on Futures,1
2012,Connecticut,Securities/Futures,SEC,[Total],1
2012,Connecticut,Securities/Futures,[Total],[Total],1
2012,Connecticut,[Total],[Total],[Total],2
2012,Delaware,Depository Institution,FDIC,Credit Card,19
2012,Delaware,Depository Institution,FDIC,[Total],19
2012,Delaware,Depository Institution,[Total],[Total],19
2012,Delaware,[Total],[Total],[Total],19
2012,Florida,Depository Institution,OCC,Mutual Fund,1
2012,Florida,Depository Institution,OCC,[Total],1
2012,Florida,Depository Institution,[Total],[Total],1
2012,Florida,Securities/Futures,SEC,Bonds/Notes,4
2012,Florida,Securities/Futures,SEC,Mutual Fund,2
2012,Florida,Securities/Futures,SEC,Stocks,1
2012,Florida,Securities/Futures,SEC,[Total],7
2012,Florida,Securities/Futures,[Total],[Total],7
2012,Florida,[Total],[Total],[Total],8
2012,Georgia,Depository Institution,FDIC,Residential Mortgage,1
2012,Georgia,Depository Institution,FDIC,[Total],1
2012,Georgia,Depository Institution,[Total],[Total],1
2012,Georgia,[Total],[Total],[Total],1
2012,Illinois,Depository Institution,FDIC,Residential Mortgage,1
2012,Illinois,Depository Institution,FDIC,[Total],1
2012,Illinois,Depository Institution,OCC,Debit Card,1
2012,Illinois,Depository Institution,OCC,[Total],1
2012,Illinois,Depository Institution,[Total],[Total],2
2012,Illinois,Securities/Futures,CFTC,Futures/Options on Futures,1
2012,Illinois,Securities/Futures,CFTC,[Total],1
2012,Illinois,Securities/Futures,SEC,Bonds/Notes,1
2012,Illinois,Securities/Futures,SEC,Mutual Fund,1
2012,Illinois,Securities/Futures,SEC,Options on Securities,1
2012,Illinois,Securities/Futures,SEC,Stocks,3
2012,Illinois,Securities/Futures,SEC,[Total],6
2012,Illinois,Securities/Futures,[Total],[Total],7
2012,Illinois,[Total],[Total],[Total],9
2012,Indiana,Depository Institution,FDIC,Credit Card,1
2012,Indiana,Depository Institution,FDIC,Debit Card,1
2012,Indiana,Depository Institution,FDIC,[Total],2
2012,Indiana,Depository Institution,[Total],[Total],2
2012,Indiana,[Total],[Total],[Total],2
2012,Iowa,Depository Institution,FDIC,Bonds/Notes,1
2012,Iowa,Depository Institution,FDIC,Residential Mortgage,1
2012,Iowa,Depository Institution,FDIC,[Total],2
2012,Iowa,Depository Institution,[Total],[Total],2
2012,Iowa,[Total],[Total],[Total],2
2012,Kansas,Depository Institution,FDIC,Commercial Paper,1
2012,Kansas,Depository Institution,FDIC,[Total],1
2012,Kansas,Depository Institution,OCC,Debit Card,1
2012,Kansas,Depository Institution,OCC,[Total],1
2012,Kansas,Depository Institution,[Total],[Total],2
2012,Kansas,[Total],[Total],[Total],2
2012,Louisiana,Depository Institution,OCC,Debit Card,1
2012,Louisiana,Depository Institution,OCC,[Total],1
2012,Louisiana,Depository Institution,[Total],[Total],1
2012,Louisiana,[Total],[Total],[Total],1
2012,Maryland,Depository Institution,FDIC,Residential Mortgage,1
2012,Maryland,Depository Institution,FDIC,[Total],1
2012,Maryland,Depository Institution,OCC,Credit Card,1
2012,Maryland,Depository Institution,OCC,[Total],1
2012,Maryland,Depository Institution,[Total],[Total],2
2012,Maryland,[Total],[Total],[Total],2
2012,Massachusetts,Depository Institution,FDIC,Debit Card,1
2012,Massachusetts,Depository Institution,FDIC,[Total],1
2012,Massachusetts,Depository Institution,[Total],[Total],1
2012,Massachusetts,Securities/Futures,SEC,Stocks,1
2012,Massachusetts,Securities/Futures,SEC,[Total],1
2012,Massachusetts,Securities/Futures,[Total],[Total],1
2012,Massachusetts,[Total],[Total],[Total],2
2012,Michigan,Depository Institution,OCC,Debit Card,1
2012,Michigan,Depository Institution,OCC,[Total],1
2012,Michigan,Depository Institution,[Total],[Total],1
2012,Michigan,[Total],[Total],[Total],1
2012,Minnesota,Securities/Futures,SEC,Bonds/Notes,1
2012,Minnesota,Securities/Futures,SEC,Debit Card,2
2012,Minnesota,Securities/Futures,SEC,Mutual Fund,1
2012,Minnesota,Securities/Futures,SEC,Stocks,1
2012,Minnesota,Securities/Futures,SEC,[Total],5
2012,Minnesota,Securities/Futures,[Total],[Total],5
2012,Minnesota,[Total],[Total],[Total],5
2012,Mississippi,Depository Institution,FDIC,Residential Mortgage,2
2012,Mississippi,Depository Institution,FDIC,[Total],2
2012,Mississippi,Depository Institution,[Total],[Total],2
2012,Mississippi,[Total],[Total],[Total],2
2012,Missouri,Depository Institution,OCC,Commercial Mortgage,1
2012,Missouri,Depository Institution,OCC,Credit Card,1
2012,Missouri,Depository Institution,OCC,Debit Card,1
2012,Missouri,Depository Institution,OCC,Residential Mortgage,1
2012,Missouri,Depository Institution,OCC,[Total],4
2012,Missouri,Depository Institution,[Total],[Total],4
2012,Missouri,[Total],[Total],[Total],4
